text,label
"موضوع: درخواست پشتیبانی برای بیش از حد داغ می‌شود

درود بی‌کران
لطفاً به این موضوع رسیدگی کنید: ماشین لباسشویی اتوماتیک من بیش از حد داغ می‌شود دارد.

به هر حال، امیدوارم این مشکل به زودی حل شود.

با تشکر",customer_support
"موضوع: شکایت از اسپیکر بلوتوثی قابل حمل

با درود
پشتیبانی گرامی، اسپیکر بلوتوثی قابل حمل به درستی کار نمی‌کند. از دیروز دیگر کار نمی‌کند. چه کاری باید انجام دهم؟

لطفا بگید چقدر طول می‌کشه.

با سپاس",customer_support
"موضوع: شکایت از اسپیکر بلوتوثی قابل حمل

درود
با سلام، اسپیکر بلوتوثی قابل حمل من بعد از چند روز استفاده اتصال بلوتوث قطع می‌شود پیدا کرده. چگونه می‌توانم این مشکل را برطرف کنم؟.

به هر حال، امیدوارم این مشکل به زودی حل شود.

با احترام",customer_support
"موضوع: شرایط خرید سرویس اینترنت

درود بی‌کران
سلام، می‌خواستم اطلاعات بیشتری در مورد سرویس اینترنت و شرایط فروش آن کسب کنم. تفاوت اصلی این مدل با مدل {مدل_دیگر} چیست؟

لطفن بگید کی موجود می‌شه.

با تقدیم احترام",sales_inquiry
"موضوع: درخواست پشتیبانی برای اتصال بلوتوث قطع می‌شود

با عرض سلام
با عرض پوزش، اخیراً فلش مموری 64 گیگ خریداری کرده‌ام ولی اتصال بلوتوث قطع می‌شود دارد. گاهی خود به خود خاموش می‌شه.

ممنون می‌شم اگه زود جواب بدید.

مرسی",customer_support
"موضوع: سوال در مورد هدفون بی‌سیم

درود
سلام، می‌خواستم اطلاعات بیشتری در مورد هدفون بی‌سیم و شرایط فروش آن کسب کنم. قیمت نهایی با احتساب مالیات و هزینه ارسال چقدر است؟

اگه امکانش هست تلفنی هم بتونم بپرسم؟

تشکر",sales_inquiry
"موضوع: معرفی شرکت {نام_شرکت}

سلام و وقت بخیر
درود بر شما، برای همکاری در توسعه یک نرم‌افزار جدید آماده‌ایم. آماده پاسخگویی به سوالات شما هستیم.

ممنون می‌شم اگه نظرتون رو بگید.

مرسی",partnership
"موضوع: درخواست کاتالوگ مایکروویو سولاردام

سلام و وقت بخیر
سلام، می‌خواستم اطلاعات بیشتری در مورد مایکروویو سولاردام و شرایط فروش آن کسب کنم. آیا مدل جدیدتر یا مشابهی هم موجود دارید؟

ممنون از همکاری شما.

با آرزوی موفقیت",sales_inquiry
"موضوع: درخواست کاتالوگ مودم ADSL

سلام بر شما
سلام، درباره مودم ADSL سوال داشتم، آیا نمایندگی فروش در {شهر} دارید؟. لطفا راهنمایی کنید.

ممنون از همکاری شما.

با آرزوی موفقیت",sales_inquiry
"موضوع: فوری! شما برنده شدید!

درود
فرصت استثنایی! کیف چرم دست‌دوز با قیمت باورنکردنی!

زود باش، تموم می‌شه!

سپاسگزارم",spam
